TimePeriod,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2019,UHF34,205,3,Sunset Park,**,**,**
2019,UHF34,206,3,Borough Park,"2.1* (1.1, 4.1)","5,000*","2.0* (1.0, 3.8)"
2019,UHF34,207,3,East Flatbush - Flatbush,"7.1* (3.6, 13.4)","16,000*","6.9* (3.5, 13.1)"
2019,UHF34,208,3,Canarsie - Flatlands,"6.5* (2.8, 14.7)","10,000*","6.7* (2.6, 16.2)"
2019,UHF34,209,3,Bensonhurst - Bay Ridge,"8.5* (4.5, 15.5)","13,000*","8.3* (4.4, 15.1)"
2019,UHF34,210,3,Coney Island - Sheepshead Bay,"2.7* (1.3, 5.3)","6,000*","2.8* (1.4, 5.6)"
2019,UHF34,211,3,Williamsburg - Bushwick,"5.5* (2.6, 11.6)","8,000*","5.5* (2.5, 11.7)"
2019,UHF34,301,3,Washington Heights,"8.4* (3.9, 17.0)","20,000*","10.1* (4.4, 21.6)"
2019,UHF34,302,3,Central Harlem - Morningside Heights,"2.6* (1.2, 5.4)","4,000*","3.0* (1.4, 6.4)"
2019,UHF34,303,3,East Harlem,"4.7* (1.8, 11.6)","4,000*","4.8* (1.9, 12.0)"
2019,UHF34,304,3,Upper West Side,"4.5* (1.7, 11.6)",**,**
2019,UHF34,401,3,Long Island City - Astoria,"0.4* (0.1, 1.2)","1,000*","0.4* (0.1, 1.2)"
2019,UHF34,402,3,West Queens,"1.6* (0.7, 3.6)","5,000*","1.4* (0.6, 3.3)"
2019,UHF34,403,3,Flushing - Clearview,"1.0* (0.2, 4.9)","1,000*","0.7* (0.2, 2.4)"
2019,UHF34,405,3,Ridgewood - Forest Hills,"3.7* (1.4, 9.4)","7,000*","3.5* (1.4, 8.9)"
2019,UHF34,407,3,Southwest Queens,"3.0* (1.5, 5.9)","6,000*","2.9* (1.4, 5.8)"
2019,UHF34,408,3,Jamaica,"3.2* (1.2, 8.0)","7,000*","3.2* (1.2, 8.2)"
2019,UHF34,409,3,Southeast Queens,**,**,**
2019,UHF34,410,3,Rockaways,"11.6* (5.0, 24.8)",**,**
2019,UHF34,305307,3,Upper East Side-Gramercy,**,**,**
2019,UHF34,306308,3,Chelsea-Village  ,"2.9* (1.4, 5.9)","5,000*","2.6* (1.2, 5.6)"
2019,UHF34,309310,3,Union Square-Lower Manhattan,"4.5* (2.4, 8.4)","9,000*","4.2* (2.3, 7.5)"
2019,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"2.1* (0.8, 5.5)","4,000*","2.5* (0.9, 6.6)"
